app_name,platform,user_category,developer,store_category,version,release_date,initial_release,is_current,release_notes,source_url,data_quality_note
Airbnb,Android,Travel,Airbnb,Travel & Local,26.18,2026-05-05,,True,,https://play.google.com/store/apps/details?id=com.airbnb.android,Current version retrieved from google-play-scraper
Airbnb,iOS,Travel,"Airbnb, Inc.",Travel,26.19,2026-05-06,2010-11-10T20:28:11Z,True,"Now you can book homes, experiences, and services—all in one app. Our redesigned app includes personalized recommendations of unique places to stay, unforgettable things to do, and incredible services at a range of prices. Plus, get a day-by-day view of your trips, new messaging features, and a revamped profile that shows who you are, where you’ve been, and who you’ve met along the way. And if you’re hosting, you’ll find useful new tools that make it easier to list your home, experience or service, as well as manage your reservations, scheduling, and more.",https://itunes.apple.com/lookup?id=401626263,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.1.2.100,2026-01-10,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-1-2-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.3.0.100,2026-02-03,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-3-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.5.0.100,2026-03-03,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-5-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.6.0.100,2026-03-17,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-6-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.8.0.100,2026-04-15,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-8-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.9.0.100,2026-04-23,,True,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.9.0.100,2026-04-29,,False,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience",https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-9-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,iOS,E-commerce,AMZN Mobile LLC,Shopping,27.9.0,2026-05-04,2008-12-03T08:00:00Z,True,"Our new design provides easier access to the features you use most while on the go. This includes the homepage, account and order information, your cart and the ability to browse and discover Amazon departments, products, programs, and features.",https://itunes.apple.com/lookup?id=297606951,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
