app_name,platform,user_category,developer,store_category,version,release_date,initial_release,is_current,release_notes,source_url,data_quality_note
Airbnb,Android,Travel,Airbnb,Travel & Local,26.18,2026-05-05,,True,,https://play.google.com/store/apps/details?id=com.airbnb.android,Current version retrieved from google-play-scraper
Airbnb,iOS,Travel,"Airbnb, Inc.",Travel,26.19,2026-05-06T21:03:46Z,2010-11-10T20:28:11Z,True,"Now you can book homes, experiences, and services—all in one app. Our redesigned app includes personalized recommendations of unique places to stay, unforgettable things to do, and incredible services at a range of prices. Plus, get a day-by-day view of your trips, new messaging features, and a revamped profile that shows who you are, where you’ve been, and who you’ve met along the way. And if you’re hosting, you’ll find useful new tools that make it easier to list your home, experience or service, as well as manage your reservations, scheduling, and more.",https://itunes.apple.com/lookup?id=401626263,Current version retrieved from iTunes Lookup API
Amazon Shopping,Android,E-commerce,Amazon Mobile LLC,Shopping,32.9.0.100,2026-04-23,,True,,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,Current version retrieved from google-play-scraper
Amazon Shopping,iOS,E-commerce,AMZN Mobile LLC,Shopping,27.9.0,2026-05-04T19:24:12Z,2008-12-03T08:00:00Z,True,"Our new design provides easier access to the features you use most while on the go. This includes the homepage, account and order information, your cart and the ability to browse and discover Amazon departments, products, programs, and features.",https://itunes.apple.com/lookup?id=297606951,Current version retrieved from iTunes Lookup API
ChatGPT,Android,AI Tools,OpenAI,Productivity,1.2026.118,2026-05-01,,True,,https://play.google.com/store/apps/details?id=com.openai.chatgpt,Current version retrieved from google-play-scraper
ChatGPT,iOS,AI Tools,"OpenAI OpCo, LLC",Productivity,1.2026.118,2026-05-06T14:38:46Z,2023-05-18T07:00:00Z,True,Bug fixes and small improvements.,https://itunes.apple.com/lookup?id=6448311069,Current version retrieved from iTunes Lookup API
DoorDash,Android,Food Delivery,DoorDash,Food & Drink,15.273.1,2026-05-04,,True,,https://play.google.com/store/apps/details?id=com.dd.doordash,Current version retrieved from google-play-scraper
DoorDash,iOS,Food Delivery,"DoorDash, Inc.",Food & Drink,8.17.2,2026-05-05T23:23:48Z,2013-10-10T19:46:20Z,True,Minor updates and performance improvements,https://itunes.apple.com/lookup?id=719972451,Current version retrieved from iTunes Lookup API
Google Maps,Android,Navigation,Google LLC,Travel & Local,Varies with device,2026-04-30,,True,,https://play.google.com/store/apps/details?id=com.google.android.apps.maps,Current version retrieved from google-play-scraper
Google Maps,iOS,Navigation,Google,Navigation,26.18.0,2026-05-01T23:03:44Z,2012-12-13T04:21:00Z,True,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them.,https://itunes.apple.com/lookup?id=585027354,Current version retrieved from iTunes Lookup API
Instagram,Android,Social Media,Instagram,Social,Varies with device,2026-05-04,,True,,https://play.google.com/store/apps/details?id=com.instagram.android,Current version retrieved from google-play-scraper
Instagram,iOS,Social Media,"Instagram, Inc.",Photo & Video,428.2.0,2026-05-05T15:02:20Z,2010-10-06T08:12:41Z,True,"Performance optimizations and stability improvements for a smoother, more reliable experience.",https://itunes.apple.com/lookup?id=389801252,Current version retrieved from iTunes Lookup API
Netflix,Android,Entertainment,"Netflix, Inc.",Entertainment,Varies with device,2026-05-04,,True,,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,Current version retrieved from google-play-scraper
Netflix,iOS,Entertainment,"Netflix, Inc.",Entertainment,18.30.0,2026-05-04T14:55:47Z,2010-04-01T20:41:34Z,True,"We’re working on the app experience. You work on what, when, and how you watch next. That's equally as important.

We know you have choices. In this release, we made gallery improvements so it’s easier to find the perfect thing to watch.",https://itunes.apple.com/lookup?id=363590051,Current version retrieved from iTunes Lookup API
PayPal,Android,Finance,PayPal Mobile,Finance,8.105.1,2026-04-22,,True,,https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile,Current version retrieved from google-play-scraper
PayPal,iOS,Finance,"PayPal, Inc.",Finance,8.106.0,2026-05-04T15:40:48Z,2019-02-03T08:00:00Z,True,"Get the latest update, so you can pay, send and save smarter. Unlock cash back offers and more. With PayPal, it really adds up.",https://itunes.apple.com/lookup?id=283646709,Current version retrieved from iTunes Lookup API
TikTok,Android,Social Media,TikTok Pte. Ltd.,Social,Varies with device,2026-04-30,,True,,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,Current version retrieved from google-play-scraper
TikTok,iOS,Social Media,TikTok Ltd.,Entertainment,45.0.0,2026-05-06T11:00:04Z,2014-04-02T22:44:45Z,True,Squashed bugs for better experience.,https://itunes.apple.com/lookup?id=835599320,Current version retrieved from iTunes Lookup API
Uber,Android,Transportation,"Uber Technologies, Inc.",Maps & Navigation,4.629.10001,2026-05-01,,True,,https://play.google.com/store/apps/details?id=com.ubercab,Current version retrieved from google-play-scraper
Uber,iOS,Transportation,"Uber Technologies, Inc.",Travel,3.720.10000,2026-05-04T06:52:51Z,2010-05-21T03:11:23Z,True,"We update the Uber app as often as possible to make it faster and more reliable for you. Here are a couple of the enhancements you'll find in the latest update:

- Updates to improve localization across the app
- Various bug fixes & improvements
  
Love the app? Rate us! Your feedback keeps the Uber engine running.
Have a question? Tap Help in the Uber app or visit help.uber.com.",https://itunes.apple.com/lookup?id=368677368,Current version retrieved from iTunes Lookup API
